Name,MapDate,DSCI
Kansas,20000104,64
Kansas,20000111,48
Kansas,20000118,132
Kansas,20000125,132
Kansas,20000201,149
Kansas,20000208,149
Kansas,20000215,149
Kansas,20000222,149
Kansas,20000229,101
Kansas,20000307,63
Kansas,20000314,38
Kansas,20000321,34
Kansas,20000328,18
Kansas,20000404,17
Kansas,20000411,17
Kansas,20000418,11
Kansas,20000425,13
Kansas,20000502,26
Kansas,20000509,16
Kansas,20000516,17
Kansas,20000523,57
Kansas,20000530,48
Kansas,20000606,75
Kansas,20000613,99
Kansas,20000620,112
Kansas,20000627,104
Kansas,20000704,89
Kansas,20000711,84
Kansas,20000718,73
Kansas,20000725,42
Kansas,20000801,38
Kansas,20000808,37
Kansas,20000815,40
Kansas,20000822,35
Kansas,20000829,58
Kansas,20000905,134
Kansas,20000912,198
Kansas,20000919,221
Kansas,20000926,206
Kansas,20001003,255
Kansas,20001010,253
Kansas,20001017,235
Kansas,20001024,189
Kansas,20001031,125
Kansas,20001107,58
Kansas,20001114,47
Kansas,20001121,44
Kansas,20001128,45
Kansas,20001205,45
Kansas,20001212,48
Kansas,20001219,49
Kansas,20001226,49
Kansas,20010102,49
Kansas,20010109,48
Kansas,20010116,46
Kansas,20010123,82
Kansas,20010130,59
Kansas,20010206,59
Kansas,20010213,17
Kansas,20010220,17
Kansas,20010227,7
Kansas,20010306,3
Kansas,20010313,6
Kansas,20010320,5
Kansas,20010327,5
Kansas,20010403,2
Kansas,20010410,2
Kansas,20010417,0
Kansas,20010424,1
Kansas,20010501,1
Kansas,20010508,1
Kansas,20010515,0
Kansas,20010522,0
Kansas,20010529,0
Kansas,20010605,0
Kansas,20010612,0
Kansas,20010619,5
Kansas,20010626,7
Kansas,20010703,10
Kansas,20010710,56
Kansas,20010717,51
Kansas,20010724,80
Kansas,20010731,32
Kansas,20010807,41
Kansas,20010814,27
Kansas,20010821,27
Kansas,20010828,20
Kansas,20010904,26
Kansas,20010911,21
Kansas,20010918,21
Kansas,20010925,4
Kansas,20011002,4
Kansas,20011009,4
Kansas,20011016,4
Kansas,20011023,11
Kansas,20011030,25
Kansas,20011106,37
Kansas,20011113,59
Kansas,20011120,56
Kansas,20011127,56
Kansas,20011204,87
Kansas,20011211,103
Kansas,20011218,102
Kansas,20011225,109
Kansas,20020101,123
Kansas,20020108,124
Kansas,20020115,125
Kansas,20020122,125
Kansas,20020129,128
Kansas,20020205,59
Kansas,20020212,54
Kansas,20020219,55
Kansas,20020226,66
Kansas,20020305,88
Kansas,20020312,100
Kansas,20020319,99
Kansas,20020326,122
Kansas,20020402,177
Kansas,20020409,171
Kansas,20020416,175
Kansas,20020423,155
Kansas,20020430,144
Kansas,20020507,167
Kansas,20020514,166
Kansas,20020521,167
Kansas,20020528,153
Kansas,20020604,153
Kansas,20020611,151
Kansas,20020618,130
Kansas,20020625,134
Kansas,20020702,155
Kansas,20020709,151
Kansas,20020716,151
Kansas,20020723,196
Kansas,20020730,213
Kansas,20020806,260
Kansas,20020813,224
Kansas,20020820,199
Kansas,20020827,186
Kansas,20020903,186
Kansas,20020910,184
Kansas,20020917,175
Kansas,20020924,172
Kansas,20021001,241
Kansas,20021008,172
Kansas,20021015,192
Kansas,20021022,193
Kansas,20021029,165
Kansas,20021105,153
Kansas,20021112,152
Kansas,20021119,153
Kansas,20021126,151
Kansas,20021203,151
Kansas,20021210,152
Kansas,20021217,151
Kansas,20021224,150
Kansas,20021231,155
Kansas,20030107,164
Kansas,20030114,177
Kansas,20030121,176
Kansas,20030128,178
Kansas,20030204,174
Kansas,20030211,178
Kansas,20030218,163
Kansas,20030225,145
Kansas,20030304,152
Kansas,20030311,181
Kansas,20030318,180
Kansas,20030325,130
Kansas,20030401,132
Kansas,20030408,116
Kansas,20030415,123
Kansas,20030422,111
Kansas,20030429,107
Kansas,20030506,115
Kansas,20030513,100
Kansas,20030520,65
Kansas,20030527,65
Kansas,20030603,57
Kansas,20030610,47
Kansas,20030617,31
Kansas,20030624,12
Kansas,20030701,9
Kansas,20030708,37
Kansas,20030715,107
Kansas,20030722,193
Kansas,20030729,245
Kansas,20030805,244
Kansas,20030812,259
Kansas,20030819,274
Kansas,20030826,321
Kansas,20030902,259
Kansas,20030909,259
Kansas,20030916,190
Kansas,20030923,191
Kansas,20030930,192
Kansas,20031007,178
Kansas,20031014,186
Kansas,20031021,181
Kansas,20031028,184
Kansas,20031104,181
Kansas,20031111,199
Kansas,20031118,195
Kansas,20031125,197
Kansas,20031202,197
Kansas,20031209,198
Kansas,20031216,187
Kansas,20031223,185
Kansas,20031230,189
Kansas,20040106,186
